train_loss,val_loss
632878592589.5758,141577507.33333334
7681967592.727273,10430039296.0
2112382799.5151515,3538711196.4444447
675860045.0909091,1305050819.5555556
277635045.8181818,73930625.6111111
183450883.33333334,996531153.7777778
96627775.93939394,82223562.16666667
83978388.02272727,22105200.069444444
37297103.94981061,6540104.114583333
25798257.78125,5366730.402777778
15660042.298532197,19643960.465277776
30487417.63789486,51704678.222222224
13893285.86573641,97582596.1111111
13290030.307008745,130982866.22222222
46522766.89789658,305977788.4444444
10414922.614863938,310139259.1111111
37707680.3359246,363750371.5555556
9741247.74616173,422681215.1111111
11359960.357937546,530729277.3333333
6899395.2713810885,571097958.2222222
18704064.572896183,456631256.8888889
7607656.403515689,601789655.1111112
2047629.0788695044,683259431.1111112
2143549.1968738018,765109713.7777778
9671889.822788406,722130625.7777778
